Día, Mes, Año
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
1, 1, 2023
9, 1, 2023
20, 3, 2023
6, 4, 2023
7, 4, 2023
1, 5, 2023
22, 5, 2023
12, 6, 2023
19, 6, 2023
3, 7, 2023
20, 7, 2023
7, 8, 2023
21, 8, 2023
16, 10, 2023
6, 11, 2023
13, 11, 2023
8, 12, 2023
25, 12, 2023
1, 1, 2025
6, 1, 2025
24, 3, 2025
17, 4, 2025
18, 4, 2025
1, 5, 2025
2, 6, 2025
23, 6, 2025
30, 6, 2025
30, 6, 2025
20, 7, 2025
7, 8, 2025
18, 8, 2025
13, 10, 2025
3, 11, 2025
17, 11, 2025
8, 12, 2025
25, 12, 2025
1, 1, 2024
8, 1, 2024
25, 3, 2024
28, 3, 2024
29, 3, 2024
1, 5, 2024
13, 5, 2024
3, 6, 2024
10, 6, 2024
1, 7, 2024
20, 7, 2024
7, 8, 2024
19, 8, 2024
14, 10, 2024
4, 11, 2024
11, 11, 2024
8, 12, 2024
25, 12, 2024
